snapshot_date,model_family,body,model_year,asking_price_usd,mileage_miles,currency,location,seller_type,listing_title,listing_url,source,vin_or_stock,exterior_color,interior_color,notes
2026-09-14,GT,coupe,2005,429995,8833,USD,"Houston, Texas, USA",dealer,2005 Ford GT,https://www.classic.com/veh/2005-ford-gt-1fafp90s05y401185-WqmLVBW/,Classic.com,1FAFP90S05Y401185,blue,Black,Classic.com asterisk asking; 8k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Houston Auto World; miles enriched from Cars.com
2026-09-14,GT,coupe,2005,500000,50406,USD,"Granger, IA",dealer,2005 Ford GT Base,https://www.cars.com/vehicledetail/0947e6dd-2757-4c7c-8e6d-1001e0ad1150/,Cars.com,1FAFP90S95Y400472,red,Black,"Cars.com SRP; Cars.com exact miles: 50,406 mi.; seller:Granger Motors"
2026-09-14,GT,coupe,2005,569500,7500,USD,"Orange County, California, USA",dealer,2005 Ford GT,https://www.classic.com/veh/2005-ford-gt-1fafp90s55y400288-N4Avobn/,Classic.com,1FAFP90S55Y400288,black,,Classic.com asterisk asking; 7k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Gallery Junction; miles enriched from Cars.com
2026-09-14,GT,coupe,2005,599200,10525,USD,"Morgantown, Pennsylvania, USA",dealer,2005 Ford GT,https://www.classic.com/veh/2005-ford-gt-1fafp90s85y401161-4rmL0Ep/,Classic.com,1FAFP90S85Y401161,,,Classic.com asterisk asking; 10k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Classic Auto Mall; miles enriched from Hemmings
2026-09-14,GT,coupe,2005,649500,,USD,"Orange County, California, USA",dealer,2005 Ford GT,https://www.classic.com/veh/2005-ford-gt-1fafp90s25y401737-n1kqRqp/,Classic.com,1FAFP90S25Y401737,,,Classic.com asterisk asking; 2k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Gallery Junction
2026-09-14,GT,coupe,2005,649900,12205,USD,"Lake Bluff, IL",dealer,2005 Ford GT Base,https://www.cars.com/vehicledetail/f5fe75d0-4ea2-4030-a9a4-2c43f7adf289/,Cars.com,1FAFP90SX5Y400738,white,Black,"Cars.com SRP; Cars.com exact miles: 12,205 mi.; seller:Ferrari Lake Forest"
2026-09-14,GT,coupe,2005,699900,,USD,"Orange County, California, USA",dealer,2005 Ford GT,https://www.classic.com/veh/2005-ford-gt-1fafp90s55y401237-4ZGgL9n/,Classic.com,1FAFP90S55Y401237,,,Classic.com asterisk asking; 4k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Gallery Junction
2026-09-14,GT,coupe,2005,700449,4847,USD,,dealer,2005 Ford GT,https://www.cargurus.com/details/456502677,CarGurus,1FAFP90S95Y401251,Centennial White Clearcoat,Ebony Black,CarGurus; Stock # D401251; trim: RWD; exterior color: Centennial White Clearcoat
2026-09-14,GT,coupe,2005,779996,11976,USD,"Charlotte, North Carolina, USA",dealer,2005 Ford GT,https://www.classic.com/veh/2005-ford-gt-1fafp90s65y401448-WjK1jwp/,Classic.com,1FAFP90S65Y401448,blue,Black,Classic.com asterisk asking; 12k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:McLaren Charlotte; miles enriched from Cars.com
2026-09-14,GT,coupe,2005,869999,564,USD,"Costa Mesa, California, USA",dealer,2005 Ford GT,https://www.classic.com/veh/2005-ford-gt-1fafp90s05y401512-bnwx93W/,Classic.com,1FAFP90S05Y401512,red,Black,Classic.com asterisk asking; exact miles displayed: 564 mi; fixed-price; seller:Eurocar Inc.
2026-09-14,GT,coupe,2005,979995,30,USD,"Beverly Hills, California, USA",dealer,2005 Ford GT,https://www.classic.com/veh/2005-ford-gt-1fafp90s95y401413-pgzzNLW/,Classic.com,1FAFP90S95Y401413,red,Black,Classic.com asterisk asking; exact miles displayed: 30 mi; fixed-price; seller:TBTFW
2026-09-14,GT,coupe,2005,1099980,,USD,"Peculiar, Missouri, USA",dealer,2005 Ford GT,https://www.classic.com/veh/2005-ford-gt-1fafp90s15y401356-45JwBkn/,Classic.com,1FAFP90S15Y401356,,,Classic.com asterisk asking; 1k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Desneux Motorsports
2026-09-14,GT,coupe,2005,1150000,537,USD,"Fairview, New Jersey, USA",dealer,2005 Ford GT,https://www.classic.com/veh/2005-ford-gt-1fafp90s65y400736-WkXz7zp/,Classic.com,1FAFP90S65Y400736,,,Classic.com asterisk asking; exact miles displayed: 537 mi; fixed-price; seller:Legendary Classics Llc
2026-09-14,GT,coupe,2006,499992,16067,USD,"Houston, TX",dealer,2006 Ford GT Base,https://www.cars.com/vehicledetail/df9172d5-0204-4d03-9b2e-02cf0524a3dd/,Cars.com,1FAFP90S76Y400195,gray,Black,"Cars.com SRP; Cars.com exact miles: 16,067 mi.; seller:ABZ Motors"
2026-09-14,GT,coupe,2006,632443,35197,USD,"Waalwijk, NL",dealer,2006 Ford GT,https://www.hemmings.com/classifieds/listing/2006-ford-gt-waalwijk-2958372,Hemmings,,,,"Hemmings classified; price-bar:$632,443; converted 56644 km -> 35197 mi; Netherlands listing; Heritage Edition"
2026-09-14,GT,coupe,2006,649500,10960,USD,"Orange, California, USA",dealer,2006 Ford GT,https://www.classic.com/veh/2006-ford-gt-1fafp90s76y401265-WvxOMl4/,Classic.com,1FAFP90S76Y401265,gray,,Classic.com asterisk asking; 11k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Gallery Junction; miles enriched from Cars.com
2026-09-14,GT,coupe,2006,699900,,USD,"Orange County, California, USA",dealer,2006 Ford GT,https://www.classic.com/veh/2006-ford-gt-1fafp90sx6y401342-nwJ8x24/,Classic.com,1FAFP90SX6Y401342,,,Classic.com asterisk asking; 7k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Gallery Junction
2026-09-14,GT,coupe,2006,699980,,USD,"Peculiar, Missouri, USA",dealer,2006 Ford Ford GT,https://www.classic.com/veh/2006-ford-ford-gt-1fafp90s86y400867-47J8EEp/,Classic.com,1FAFP90S86Y400867,,,Classic.com asterisk asking; 10k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Desneux Motorsports
2026-09-14,GT,coupe,2006,749900,1282,USD,"Springfield, Missouri, USA",dealer,2006 Ford GT,https://www.classic.com/veh/2006-ford-gt-1fafp90s56y401426-nX7oEZ4/,Classic.com,1FAFP90S56Y401426,black,,Classic.com asterisk asking; 1k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Premier Sports Cars Co.; miles enriched from Cars.com
