snapshot_date,model_family,body,model_year,asking_price_usd,mileage_miles,currency,location,seller_type,listing_title,listing_url,source,vin_or_stock,exterior_color,interior_color,notes
2026-09-15,STO,coupe,2023,471048,12970,USD,"Fort Lauderdale, Florida, USA",dealer,2023 Lamborghini Huracan STO 2D Coupe,https://www.classic.com/veh/2023-lamborghini-huracan-sto-2d-coupe-zhwua6zxxpla-4awGElW/,Classic.com,ZHWUA6ZXXPLA24598,green,,Classic.com asterisk asking; 13k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Holman Motorcars; VIN truncated/absent in Classic.com URL; mileage enriched from Cars.com; VIN enriched from Cars.com; also listed on Cars.com @ $471048
2026-09-15,STO,coupe,2023,489990,9738,USD,"Lamborghini Huracan STO Coupe O'Gara Coach Westlake Village Westlake Village, CA, USA",dealer,2023 Lamborghini Huracan STO Coupe,https://www.cars.com/vehicledetail/b89c4b53-b81f-466b-ba08-9baa405d0a25/,Cars.com,ZHWUA6ZX5PLA22922,,,Cars.com search results; exact miles from Cars.com JSON: 9738; seller:O'Gara Coach Westlake Village; stock:Used
2026-09-15,STO,coupe,2023,499912,,USD,"West Chicago, Illinois, USA",dealer,2023 Lamborghini Huracan STO,https://www.classic.com/veh/2023-lamborghini-huracan-sto-zhwua6zx4pla23110-pGAD7xn/,Classic.com,ZHWUA6ZX4PLA23110,,,Classic.com asterisk asking; 5k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Chicago Motor Cars
2026-09-15,STO,coupe,2023,502172,,USD,"Naples, Florida, USA",dealer,2023 Lamborghini Huracan STO,https://www.classic.com/veh/2023-lamborghini-huracan-sto-zhwua6zx3pla23793-47e6rAW/,Classic.com,ZHWUA6ZX3PLA23793,,,Classic.com asterisk asking; 1k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Naples Motorsports
2026-09-15,STO,coupe,2023,519961,7539,USD,"Clearwater, FL, USA",dealer,2023 Lamborghini Huracan STO Base,https://www.cars.com/vehicledetail/87ddce21-d9e8-42cb-b146-20314fbb552c/,Cars.com,ZHWUA6ZX6PLA22587,black,,Cars.com search results; exact miles from Cars.com JSON: 7539; seller:Lokey Nissan; stock:Used; exterior color: black
2026-09-15,STO,coupe,2023,549912,657,USD,"West Chicago, IL, USA",dealer,2023 Lamborghini Huracan STO Coupe,https://www.cars.com/vehicledetail/29850aaf-d286-45ef-b92e-c1e2a5ef39cd/,Cars.com,ZHWUA6ZX5PLA21835,white,,Cars.com search results; exact miles from Cars.com JSON: 657; seller:Chicago Motor Cars; stock:Used; exterior color: white
2026-09-15,STO,coupe,2023,579990,926,USD,"Fort Collins, Colorado, USA",dealer,2023 Lamborghini Huracan STO,https://www.classic.com/veh/2023-lamborghini-huracan-sto-zhwca6zx2pla23344-WbQZ0wn/,Classic.com,ZHWCA6ZX2PLA23344,,,Classic.com asterisk asking; exact miles displayed: 926 mi; fixed-price; seller:Auto Trends
2026-09-15,STO,coupe,2023,584999,951,USD,"Costa Mesa, California, USA",dealer,2023 Lamborghini Huracan STO,https://www.classic.com/veh/2023-lamborghini-huracan-sto-zhwua6zx6pla22542-n16mzwW/,Classic.com,ZHWUA6ZX6PLA22542,gray,,Classic.com asterisk asking; exact miles displayed: 951 mi; fixed-price; seller:Eurocar Inc.; also listed on Cars.com @ $585084
2026-09-15,STO,coupe,2023,590000,,USD,"Rockingham County, New Hampshire, USA",dealer,2023 Lamborghini Huracan STO,https://www.classic.com/veh/2023-lamborghini-huracan-sto-zhwua6zx6pla24677-Wjby1NW/,Classic.com,ZHWUA6ZX6PLA24677,,,Classic.com asterisk asking; 1k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Cella Motors Llc
2026-09-15,STO,coupe,2024,490076,10561,USD,"Lamborghini Huracan STO Coupe Lamborghini San Francisco San Rafael, CA, USA",dealer,2024 Lamborghini Huracan STO Coupe,https://www.cars.com/vehicledetail/d241c481-4a4e-4a83-8861-35a0e75a0e22/,Cars.com,ZHWUA6ZXXRLA27410,black,Nero,Cars.com search results; exact miles from Cars.com JSON: 10561; seller:Lamborghini San Francisco; stock:Used; exterior color: black
