snapshot_or_event_date,status,make,model_family,body,model_year,asking_price_usd,sold_price_usd,mileage_miles,location,listing_title,listing_url,source,vin_or_stock,notes
2026-09-12,sold,Lamborghini,Gallardo,spider,2006,,102300,,"Las Vegas, Nevada, USA",2006 Lamborghini Gallardo Spyder,https://www.classic.com/veh/2006-lamborghini-gallardo-spyder-zhwgu22t46la03829-XnlqNJW/,Classic.com,ZHWGU22T46LA03829,Gallardo Spyder; 23k mi displayed; mileage blank (rounded Nk mi); auction sold
2026-09-12,off_market,Lamborghini,Revuelto,coupe,2024,,,,"Las Vegas, Nevada, USA",2024 Lamborghini Revuelto,https://www.classic.com/veh/2024-lamborghini-revuelto-zhwuc1zm2rla00897-n2Vxlqn/,Classic.com,ZHWUC1ZM2RLA00897,Revuelto; 1k mi displayed; mileage blank (rounded Nk mi); off_market/pending/undisclosed historical card
2026-09-12,last_ask,Lamborghini,Revuelto,coupe,2024,629900,,,"Newtown Township, Pennsylvania, USA",2024 Lamborghini Revuelto,https://www.classic.com/veh/2024-lamborghini-revuelto-coupe-zhwuc1zm6rla00918-WRdewJ4/,Classic.com,ZHWUC1ZM6RLA00918,Revuelto; 3k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-12,last_ask,Ferrari,SF90,coupe,2021,399995,,,"Tampa, Florida, USA",2021 Ferrari SF90 Stradale,https://www.classic.com/veh/2021-ferrari-sf90-stradale-zff95nla2m0266282-4Vwzd2n/,Classic.com,ZFF95NLA2M0266282,SF90 Stradale; 1k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-11,last_ask,Ferrari,296,spider,2025,389900,,95,"Beverly Hills, California, USA",2025 Ferrari 296 GTS,https://www.classic.com/veh/2025-ferrari-296-gts-zff01sma4s0315688-WLA6J6p/,Classic.com,ZFF01SMA4S0315688,296 GTS; exact miles displayed: 95 mi; Classic.com Last Asking (removed/sold without published sold price)
2026-09-11,sold,Lamborghini,Gallardo,spider,2008,,105000,,"Marietta, Georgia, USA",2008 Lamborghini Gallardo Spyder,https://www.classic.com/veh/2008-lamborghini-gallardo-spyder-zhwgu22t98la06843-4oa6bvW/,Classic.com,ZHWGU22T98LA06843,Gallardo Spyder; 22k mi displayed; mileage blank (rounded Nk mi); auction sold
2026-09-11,sold,Lamborghini,Gallardo,coupe,2012,,630000,,"Franklin, Tennessee, USA",2012 Lamborghini Gallardo LP 570-4 Super Trofeo Stradale,https://www.classic.com/veh/2012-lamborghini-gallardo-lp-570-4-super-trofeo-st-pP3amoW/,Classic.com,,Gallardo; 4k mi displayed; mileage blank (rounded Nk mi); auction sold
2026-09-11,last_ask,Lamborghini,Revuelto,coupe,2025,698799,,350,"Scottsdale, Arizona, USA",2025 Lamborghini Revuelto,https://www.classic.com/veh/2025-lamborghini-revuelto-zhwuc1zm6sla03128-n8lg7Yn/,Classic.com,ZHWUC1ZM6SLA03128,Revuelto; exact miles displayed: 350 mi; Classic.com Last Asking (removed/sold without published sold price)
2026-09-11,last_ask,Ferrari,SF90,spider,2022,564999,,,"San Diego, California, USA",2022 Ferrari SF90 Spider,https://www.classic.com/veh/2022-ferrari-sf90-spider-zff96nma4n0279435-n36EbE4/,Classic.com,ZFF96NMA4N0279435,SF90 Spider; 2k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-11,last_ask,Ferrari,SF90,spider,2025,575900,,53,"Roswell, Georgia, USA",2025 Ferrari SF90 Spider,https://www.classic.com/veh/2025-ferrari-sf90-spider-zff96nma0s0315004-WRdVDJ4/,Classic.com,ZFF96NMA0S0315004,SF90 Spider; exact miles displayed: 53 mi; Classic.com Last Asking (removed/sold without published sold price)
