make,model_family,body,model_year,vin,auction_house,sale_name,auction_date,status,price_native,currency,price_usd,price_basis,high_bid_usd,mileage_miles,listing_url,notes
Lamborghini,Performante,coupe,2018,ZHWED4ZF5JLA08906,Collecting Cars,Collecting Cars via Classic.com,2026-08-05,sold,215000,EUR,,sold,,,https://www.classic.com/veh/2018-lamborghini-huracan-lp640-4-performante-zhwed-pE7V3wn/,native EUR 215000; price_usd blank (no FX invented); rounded mileage displayed: 11k km (6k mi)
Ferrari,458,coupe,2015,ZFF67NFA4F0210209,Bring a Trailer,Bring a Trailer,2026-08-05,sold,470000,USD,470000,sold,,1200,https://bringatrailer.com/listing/2015-ferrari-458-italia-17/,
Ferrari,458,coupe,2010,ZFF67NFA6A0175522,Bring a Trailer,Bring a Trailer,2026-08-05,sold,235786,USD,235786,sold,,,https://bringatrailer.com/listing/2010-ferrari-458-italia-41/,
Ford,GT,coupe,2006,1FAFP90S06Y401706,Bring a Trailer,Bring a Trailer,2026-08-04,sold,2101000,USD,2101000,sold,,8,https://bringatrailer.com/listing/2006-ford-gt-heritage-edition-48/,
Ferrari,488,coupe,2017,ZFF79AMT2H0221644,Collecting Cars,Collecting Cars via Classic.com,2026-07-30,sold,102500,USD,102500,sold,,,https://www.classic.com/veh/2017-ferrari-488-gtb-zff79amt2h0221644-4awBwMW/,rounded mileage displayed: 72k km (45k mi)
Ferrari,488,coupe,2017,ZFF79AMB000231048,Collecting Cars,Collecting Cars via Classic.com,2026-07-30,sold,173000,EUR,,sold,,,https://www.classic.com/veh/2017-ferrari-488-gtb-zff79amb000231048-WYwyDk4/,native EUR 173000; price_usd blank (no FX invented); rounded mileage displayed: 52k km (32k mi)
Ferrari,488,spider,2017,ZFF80AMAXH0223672,Bring a Trailer,Bring a Trailer,2026-07-30,sold,455000,USD,455000,sold,,,https://bringatrailer.com/listing/2017-ferrari-488-spider-37/,rounded mileage in title: 6k-Mile
Ferrari,458,coupe,2015,ZFF75VFA6F0208875,Bring a Trailer,Bring a Trailer,2026-07-29,sold,920000,USD,920000,sold,,,https://bringatrailer.com/listing/2015-ferrari-458-speciale-37/,
Ferrari,458,spider,2013,ZFF68NHA3D0193734,Bring a Trailer,Bring a Trailer,2026-07-29,sold,397000,USD,397000,sold,,,https://bringatrailer.com/listing/2013-ferrari-458-spider-64/,rounded mileage in title: 11k-Mile
Ferrari,458,coupe,2010,ZFF67NFA1A0174374,Bring a Trailer,Bring a Trailer,2026-07-28,sold,285919,USD,285919,sold,,,https://bringatrailer.com/listing/2010-ferrari-458-italia-40/,
Ford,GT,coupe,2006,1FAFP90S56Y400101,GAA Classic Cars,GAA Classic Cars via Classic.com,2026-07-25,sold,660000,USD,660000,sold,,18,https://www.classic.com/veh/2006-ford-gt-1fafp90s56y400101-pdXDKOp/,
Lamborghini,STO,coupe,2022,ZHWUA6ZX0NLA20265,Cars & Bids,Cars & Bids via Classic.com,2026-07-23,sold,485000,USD,485000,sold,,954,https://www.classic.com/veh/2022-lamborghini-huracan-zhwua6zx0nla20265-4ZOKkqn/,
Ferrari,488,spider,2018,ZFF80AMAXJ0233396,Bring a Trailer,Bring a Trailer,2026-07-23,sold,475000,USD,475000,sold,,,https://bringatrailer.com/listing/2018-ferrari-488-spider-48/,rounded mileage in title: 6k-Mile
Ford,GT,coupe,2006,1FAFP90SX6Y401048,Bring a Trailer,Bring a Trailer,2026-07-22,sold,735000,USD,735000,sold,,2200,https://bringatrailer.com/listing/2006-ford-gt-216/,
Ferrari,488,spider,2017,ZFF80AMB000228540,Collecting Cars,Collecting Cars via Classic.com,2026-07-22,sold,195000,EUR,,sold,,,https://www.classic.com/veh/2017-ferrari-488-spider-zff80amb000228540-4DBm3xW/,native EUR 195000; price_usd blank (no FX invented); rounded mileage displayed: 35k km (22k mi) TMU
Ferrari,488,coupe,2019,ZFF79ALA9K0246273,Bring a Trailer,Bring a Trailer,2026-07-22,unsold,326000,USD,,high_bid,326000,,https://bringatrailer.com/listing/2019-ferrari-488-gtb-6/,rounded mileage in title: 6k-Mile
Ford,GT,coupe,2005,1FAFP90SX5Y401632,Collecting Cars,Collecting Cars via Classic.com,2026-07-21,sold,322500,GBP,,sold,,,https://www.classic.com/veh/2005-ford-gt-1fafp90sx5y401632-4oDP2Ln/,native GBP 322500; price_usd blank (no FX invented); rounded mileage displayed: 10k mi
Ferrari,458,coupe,2014,ZFF67NFA2E0203273,Bring a Trailer,Bring a Trailer,2026-07-21,sold,450000,USD,450000,sold,,4300,https://bringatrailer.com/listing/2014-ferrari-458-italia-14/,
Ferrari,488,spider,2016,ZFF80AMB000216344,Collecting Cars,Collecting Cars via Classic.com,2026-07-17,sold,176000,EUR,,sold,,,https://www.classic.com/veh/2016-ferrari-488-spider-zff80amb000216344-nBkjBEW/,native EUR 176000; price_usd blank (no FX invented); rounded mileage displayed: 30k km (19k mi)
Ferrari,F8,spider,2022,ZFF93LMA1N0276540,Bring a Trailer,Bring a Trailer,2026-07-15,sold,642500,USD,642500,sold,,330,https://bringatrailer.com/listing/2022-ferrari-f8-spider-28/,
Ferrari,F8,coupe,2021,ZFF92LMC000263838,Collecting Cars,Collecting Cars via Classic.com,2026-07-14,sold,385500,USD,385500,sold,,,https://www.classic.com/veh/2021-ferrari-f8-tributo-zff92lmc000263838-pe63yX4/,rounded mileage displayed: 7k km (4k mi)
Ferrari,458,spider,2012,ZFF68NHA0C0188733,Bring a Trailer,Bring a Trailer,2026-07-14,sold,310000,USD,310000,sold,,,https://bringatrailer.com/listing/2012-ferrari-458-spider-20/,
Ferrari,458,coupe,2013,ZFF67NHB000192181,Collecting Cars,Collecting Cars via Classic.com,2026-07-13,sold,150000,USD,150000,sold,,,https://www.classic.com/veh/2013-ferrari-458-italia-zff67nhb000192181-4MaPrK4/,rounded mileage displayed: 19k km (12k mi)
Ferrari,488,spider,2019,ZFF80AMTXJ0229074,Collecting Cars,Collecting Cars via Classic.com,2026-07-10,sold,150000,EUR,,sold,,,https://www.classic.com/veh/2019-ferrari-488-spider-zff80amtxj0229074-nOEgm5p/,native EUR 150000; price_usd blank (no FX invented); rounded mileage displayed: 82k km (51k mi) TMU
